Date, Open, High, Low, Close
06/21/24, 5466.77, 5478.31, 5452.03, 5464.62
06/20/24, 5499.99, 5505.53, 5455.56, 5473.17
06/18/24, 5476.15, 5490.38, 5471.32, 5487.03
06/17/24, 5431.11, 5488.50, 5420.40, 5473.23
06/14/24, 5424.08, 5432.39, 5403.75, 5431.60
06/13/24, 5441.93, 5441.93, 5402.51, 5433.74
06/12/24, 5409.13, 5447.25, 5409.13, 5421.03
06/11/24, 5353.00, 5375.95, 5327.25, 5375.32
06/10/24, 5341.22, 5365.79, 5331.52, 5360.79
06/07/24, 5343.81, 5375.08, 5331.33, 5346.99
06/06/24, 5357.80, 5362.35, 5335.36, 5352.96
06/05/24, 5314.48, 5354.16, 5297.64, 5354.03
06/04/24, 5278.24, 5298.80, 5257.63, 5291.34
06/03/24, 5297.15, 5302.11, 5234.32, 5283.40
05/31/24, 5243.21, 5280.33, 5191.68, 5277.51
05/30/24, 5259.77, 5260.21, 5222.10, 5235.48
05/29/24, 5278.73, 5282.27, 5262.70, 5266.95
05/28/24, 5315.91, 5315.91, 5280.89, 5306.04
05/24/24, 5281.45, 5311.65, 5278.39, 5304.72
05/23/24, 5340.26, 5341.88, 5256.93, 5267.84
05/22/24, 5319.28, 5323.18, 5286.01, 5307.01
05/21/24, 5298.69, 5324.32, 5297.87, 5321.41
05/20/24, 5305.35, 5325.32, 5302.40, 5308.13
05/17/24, 5303.10, 5305.45, 5283.59, 5303.27
05/16/24, 5310.07, 5325.49, 5296.19, 5297.10
05/15/24, 5263.26, 5311.76, 5263.26, 5308.15
05/14/24, 5221.10, 5250.37, 5217.98, 5246.68
05/13/24, 5233.08, 5237.26, 5211.16, 5221.42
05/10/24, 5225.49, 5239.66, 5209.68, 5222.68
05/09/24, 5189.03, 5215.30, 5180.41, 5214.08
05/08/24, 5168.98, 5191.95, 5165.86, 5187.67
05/07/24, 5187.20, 5200.23, 5178.96, 5187.70
05/06/24, 5142.42, 5181.00, 5142.42, 5180.74
05/03/24, 5122.78, 5139.12, 5101.22, 5127.79
05/02/24, 5049.32, 5073.21, 5011.05, 5064.20
05/01/24, 5029.03, 5096.12, 5013.45, 5018.39
04/30/24, 5103.78, 5110.83, 5035.31, 5035.69
04/29/24, 5114.13, 5123.49, 5088.65, 5116.17
04/26/24, 5084.65, 5114.62, 5073.14, 5099.96
04/25/24, 5019.88, 5057.75, 4990.58, 5048.42
04/24/24, 5084.86, 5089.48, 5047.02, 5071.63
04/23/24, 5028.85, 5076.12, 5027.96, 5070.55
04/22/24, 4987.33, 5038.84, 4969.40, 5010.60
04/19/24, 5005.44, 5019.02, 4953.56, 4967.23
04/18/24, 5031.52, 5056.66, 5001.89, 5011.12
04/17/24, 5068.97, 5077.96, 5007.25, 5022.21
04/16/24, 5064.59, 5079.84, 5039.83, 5051.41
04/15/24, 5149.67, 5168.43, 5052.47, 5061.82
04/12/24, 5171.51, 5175.03, 5107.94, 5123.41
04/11/24, 5172.95, 5211.78, 5138.77, 5199.06
04/10/24, 5167.88, 5178.43, 5138.70, 5160.64
04/09/24, 5217.03, 5224.81, 5160.78, 5209.91
04/08/24, 5211.37, 5219.57, 5197.35, 5202.39
04/05/24, 5158.95, 5222.18, 5157.21, 5204.34
04/04/24, 5244.05, 5256.59, 5146.06, 5147.21
04/03/24, 5194.37, 5228.75, 5194.37, 5211.49
04/02/24, 5204.29, 5208.34, 5184.05, 5205.81
04/01/24, 5257.97, 5263.95, 5229.20, 5243.77
03/28/24, 5248.03, 5264.85, 5245.82, 5254.35
03/27/24, 5226.31, 5249.26, 5213.92, 5248.49
03/26/24, 5228.85, 5235.16, 5203.42, 5203.58
03/25/24, 5219.52, 5229.09, 5216.09, 5218.19
03/22/24, 5242.48, 5246.09, 5229.87, 5234.18
03/21/24, 5253.43, 5261.10, 5240.66, 5241.53
03/20/24, 5181.69, 5226.19, 5171.55, 5224.62
03/19/24, 5139.09, 5180.31, 5131.59, 5178.51
03/18/24, 5154.77, 5175.60, 5145.47, 5149.42
03/15/24, 5123.31, 5136.86, 5104.35, 5117.09
03/14/24, 5175.14, 5176.85, 5123.30, 5150.48
03/13/24, 5173.49, 5179.14, 5151.88, 5165.31
03/12/24, 5134.30, 5179.87, 5114.48, 5175.27
03/11/24, 5111.96, 5124.66, 5091.14, 5117.94
03/08/24, 5164.46, 5189.26, 5117.50, 5123.69
03/07/24, 5132.38, 5165.62, 5128.21, 5157.36
03/06/24, 5108.03, 5127.97, 5092.22, 5104.76
03/05/24, 5110.52, 5114.54, 5056.82, 5078.65
03/04/24, 5130.99, 5149.67, 5127.18, 5130.95
03/01/24, 5098.51, 5140.33, 5094.16, 5137.08
02/29/24, 5085.36, 5104.99, 5061.89, 5096.27
02/28/24, 5067.20, 5077.37, 5058.35, 5069.76
02/27/24, 5074.60, 5080.69, 5057.29, 5078.18
02/26/24, 5093.00, 5097.66, 5068.91, 5069.53
02/23/24, 5100.92, 5111.06, 5081.46, 5088.80
02/22/24, 5038.83, 5094.39, 5038.83, 5087.03
02/21/24, 4963.03, 4983.21, 4946.00, 4981.80
02/20/24, 4989.32, 4993.71, 4955.02, 4975.51
02/16/24, 5031.13, 5038.70, 4999.52, 5005.57
02/15/24, 5003.14, 5032.72, 4999.44, 5029.73
02/14/24, 4976.44, 5002.52, 4956.45, 5000.62
02/13/24, 4967.94, 4971.30, 4920.31, 4953.17
02/12/24, 5026.83, 5048.39, 5016.83, 5021.84
02/09/24, 5004.17, 5030.06, 5000.34, 5026.61
02/08/24, 4995.16, 5000.40, 4987.09, 4997.91
02/07/24, 4973.05, 4999.89, 4969.05, 4995.06
02/06/24, 4950.16, 4957.77, 4934.88, 4954.23
02/05/24, 4957.19, 4957.19, 4918.09, 4942.81
02/02/24, 4916.06, 4975.29, 4907.99, 4958.61
02/01/24, 4861.11, 4906.97, 4853.52, 4906.19
01/31/24, 4899.19, 4906.75, 4845.15, 4845.65
01/30/24, 4925.89, 4931.09, 4916.27, 4924.97
